"Day","Sales","Trading Profit","Operating Expense","Net Profit"
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,216720,-216720
3,78726,32205,272840,-240635
4,158931,65010,330643,-265633
5,236394,103820,360896,-257076
6,313134,146060,393340,-247280
7,441469,224756,431149,-206393
8,569503,287910,466837,-178927
9,709985,357065,566596,-209531
10,1470820,829183,605776,223407
11,1966127,1082674,662125,420549
12,2232756,1218360,702174,516186
13,3878763,1750340,740682,1009658
14,5062365,2094855,777299,1317556
15,6898062,1905357,819916,1085441
16,7024069,1988191,860643,1127548
17,7616142,2202493,904342,1298151
18,7711338,2255230,961571,1293659
19,8734611,2427600,1000902,1426698
20,8830339,2481131,2052908,428223
21,9471406,2648751,2093259,555492
22,9571477,2702132,2133837,568295
23,9668676,2754933,2173954,580979
24,9809845,2814817,2264416,550401
25,10656091,2977301,2318467,658834
26,10832751,3112610,2360287,752323
27,11564431,3350179,2406141,944038
28,11692116,3412732,2442551,970181
29,11802282,3448463,2485055,963408
30,11902303,3485894,3048292,437602